station_id,historical_station_idx_lookup__NSE,historical_station_idx_lookup__KGE,historical_station_idx_lookup__snow_pbm_gate_mean,historical_station_idx_lookup__runoff_pbm_gate_mean,historical_station_idx_lookup__et_pbm_gate_mean,historical_station_idx_lookup__drainage_pbm_gate_mean,forced_raw_zero__NSE,forced_raw_zero__KGE,forced_raw_zero__snow_pbm_gate_mean,forced_raw_zero__runoff_pbm_gate_mean,forced_raw_zero__et_pbm_gate_mean,forced_raw_zero__drainage_pbm_gate_mean,recovered_precomputed__NSE,recovered_precomputed__KGE,recovered_precomputed__snow_pbm_gate_mean,recovered_precomputed__runoff_pbm_gate_mean,recovered_precomputed__et_pbm_gate_mean,recovered_precomputed__drainage_pbm_gate_mean,corr_historical_zero,corr_recovered_zero,corr_recovered_historical,median_abs_daily_historical_zero,median_abs_daily_recovered_zero,median_abs_daily_recovered_historical,max_abs_daily_historical_zero,max_abs_daily_recovered_zero
camels_01137500,0.6624744573069543,0.7931670523004989,0.04673563432983646,0.007604559343194865,0.0010813804838285001,0.0005951680409255424,0.6624744573069543,0.7931670523004989,0.04673563432983646,0.007604559343194865,0.0010813804838285001,0.0005951680409255424,0.6624639950148669,0.793162134241824,0.04673563432983646,0.007604559343194865,0.0010813804838285001,0.0005951680409255424,1.0,0.9999999985973771,0.9999999985973771,0.0,2.7692567408532653e-05,2.7692567408532653e-05,0.0,0.0024745887784138887
camels_01139000,0.7563762751807042,0.868304650862586,0.0443641337613305,0.01822460940595089,0.0013379288493498827,0.007488863946941755,0.7563762751807042,0.868304650862586,0.0443641337613305,0.01822460940595089,0.0013379288493498827,0.007488863946941755,0.756370328989017,0.8683157823675558,0.0443641337613305,0.01822460940595089,0.0013379288493498827,0.007488863946941755,1.0,0.9999999982020185,0.9999999982020185,0.0,3.187979625263182e-05,3.187979625263182e-05,0.0,0.0032421318935575982
camels_01139800,0.7248828530605218,0.846919425495088,0.04256643484862291,0.01690818813703123,0.0013361525100336598,0.007983306165157418,0.7248828530605218,0.846919425495088,0.04256643484862291,0.01690818813703123,0.0013361525100336598,0.007983306165157418,0.7248677070782116,0.846921153340412,0.04256643484862291,0.01690818813703123,0.0013361525100336598,0.007983306165157418,1.0,0.9999999993075146,0.9999999993075146,0.0,1.672250003093012e-05,1.672250003093012e-05,0.0,0.0017373872183585881
camels_01142500,0.7263823062493249,0.8490748681957337,0.041251309067917644,0.014817952819576612,0.0012723404785682415,0.005891879818744157,0.7263823062493249,0.8490748681957337,0.041251309067917644,0.014817952819576612,0.0012723404785682415,0.005891879818744157,0.7263679553096222,0.8490773965165751,0.041251309067917644,0.014817952819576612,0.0012723404785682415,0.005891879818744157,1.0,0.9999999989188287,0.9999999989188287,0.0,1.479901420786689e-05,1.479901420786689e-05,0.0,0.0023288994411174713
camels_01144000,0.7209638856116363,0.8361273307917951,0.04098465244378328,0.014102273055070795,0.0012620888181922403,0.005037948422693094,0.7209638856116363,0.8361273307917951,0.04098465244378328,0.014102273055070795,0.0012620888181922403,0.005037948422693094,0.7209513185061573,0.8361219831346622,0.04098465244378328,0.014102273055070795,0.0012620888181922403,0.005037948422693094,1.0,0.9999999984902316,0.9999999984902316,0.0,1.9026776321595662e-05,1.9026776321595662e-05,0.0,0.002413478875617159
camels_01162500,0.8644427281324849,0.9109770790310024,0.03513134962163155,0.037817572386704884,0.0015342192282299483,0.02611996842204436,0.8644427281324849,0.9109770790310024,0.03513134962163155,0.037817572386704884,0.0015342192282299483,0.02611996842204436,0.8644443446901614,0.9109868109221488,0.03513134962163155,0.037817572386704884,0.0015342192282299483,0.02611996842204436,1.0,0.9999999989610354,0.9999999989610354,0.0,3.351076958102439e-05,3.351076958102439e-05,0.0,0.003065995021458434
camels_01169000,0.5440100691841643,0.677055965884749,0.037260985616254516,0.02295422505655347,0.0014749428321575297,0.01352200266313843,0.5440100691841643,0.677055965884749,0.037260985616254516,0.02295422505655347,0.0014749428321575297,0.01352200266313843,0.5439743037291731,0.6770354522974285,0.037260985616254516,0.02295422505655347,0.0014749428321575297,0.01352200266313843,1.0,0.9999999985568786,0.9999999985568786,0.0,1.3312060463288589e-05,1.3312060463288589e-05,0.0,0.005248075819219267
camels_01170100,0.5612908770468976,0.7444703294091968,0.035617221731684995,0.02132750486021835,0.001439885677237056,0.01206580755918553,0.5612908770468976,0.7444703294091968,0.035617221731684995,0.02132750486021835,0.001439885677237056,0.01206580755918553,0.5612632645435383,0.7444566614352182,0.035617221731684995,0.02132750486021835,0.001439885677237056,0.01206580755918553,1.0,0.9999999986305771,0.9999999986305771,0.0,2.824861688521807e-05,2.824861688521807e-05,0.0,0.003243062439595157
camels_01181000,0.4099832356917398,0.5019506688833527,0.03532359527525989,0.025982804907746536,0.0015163416552978887,0.016232748592601102,0.4099832356917398,0.5019506688833527,0.03532359527525989,0.025982804907746536,0.0015163416552978887,0.016232748592601102,0.4099231843911767,0.5019147608975447,0.03532359527525989,0.025982804907746536,0.0015163416552978887,0.016232748592601102,1.0,0.9999999971277059,0.9999999971277059,0.0,3.238758119050722e-05,3.238758119050722e-05,0.0,0.009294366205463866
camels_01187300,0.552832380861692,0.6207670041251367,0.041041738266393575,0.0508851351167319,0.0018552464839169268,0.0335612654927778,0.552832380861692,0.6207670041251367,0.041041738266393575,0.0508851351167319,0.0018552464839169268,0.0335612654927778,0.5528036230308351,0.6207520675568963,0.041041738266393575,0.0508851351167319,0.0018552464839169268,0.0335612654927778,0.9999999999999999,0.999999997303877,0.999999997303877,0.0,1.5249179357634812e-05,1.5249179357634812e-05,0.0,0.005422052217115336
camels_01333000,0.7592091974792241,0.8542400629688778,0.034191935928066165,0.021888068239780758,0.0013705788471152283,0.012725756086152175,0.7592091974792241,0.8542400629688778,0.034191935928066165,0.021888068239780758,0.0013705788471152283,0.012725756086152175,0.7591994853931662,0.8542350235254939,0.034191935928066165,0.021888068239780758,0.0013705788471152283,0.012725756086152175,1.0,0.9999999993761447,0.9999999993761447,0.0,2.619926139812989e-05,2.619926139812989e-05,0.0,0.0013113389478469628
camels_01350140,0.6075824776341492,0.7413877489541377,0.048239426680559076,0.056281152071382165,0.0019249128279773024,0.04044445107481301,0.6075824776341492,0.7413877489541377,0.048239426680559076,0.056281152071382165,0.0019249128279773024,0.04044445107481301,0.6075620755202281,0.7413827140262136,0.048239426680559076,0.056281152071382165,0.0019249128279773024,0.04044445107481301,1.0,0.9999999987259454,0.9999999987259454,0.0,3.4330863059039984e-06,3.4330863059039984e-06,0.0,0.0032973867095749676
camels_01411300,0.8718116211682456,0.9066164473505888,0.0191221867807013,0.03864711041866403,0.00167646698245654,0.024745042812509905,0.8718116211682456,0.9066164473505888,0.0191221867807013,0.03864711041866403,0.00167646698245654,0.024745042812509905,0.8718240522085283,0.9066317438086935,0.0191221867807013,0.03864711041866403,0.00167646698245654,0.024745042812509905,1.0,0.999999999161685,0.999999999161685,0.0,1.967953612447282e-05,1.967953612447282e-05,0.0,0.0016293970312410977
camels_01414500,0.6769064839198953,0.7519156685188345,0.04129262309045385,0.033803417523057176,0.0014524794253567895,0.01928678129555971,0.6769064839198953,0.7519156685188345,0.04129262309045385,0.033803417523057176,0.0014524794253567895,0.01928678129555971,0.6768861039783916,0.7519049752849627,0.04129262309045385,0.033803417523057176,0.0014524794253567895,0.01928678129555971,1.0,0.9999999992729296,0.9999999992729296,0.0,1.4277592354616786e-05,1.4277592354616786e-05,0.0,0.004023284209504041
camels_01415000,0.6600853315959845,0.7836885985137811,0.04312238712581611,0.042977450295345776,0.00163769136819588,0.02802212078721238,0.6600853315959845,0.7836885985137811,0.04312238712581611,0.042977450295345776,0.00163769136819588,0.02802212078721238,0.660071224720562,0.7836868886020452,0.04312238712581611,0.042977450295345776,0.00163769136819588,0.02802212078721238,0.9999999999999999,0.9999999989267063,0.9999999989267063,0.0,1.175474121950515e-05,1.175474121950515e-05,0.0,0.0016782189115023272
camels_01439500,0.8686217595371305,0.9004480664844267,0.027183274274907295,0.0238102214573363,0.0013606681543238022,0.014960975724349884,0.8686217595371305,0.9004480664844267,0.027183274274907295,0.0238102214573363,0.0013606681543238022,0.014960975724349884,0.8686184849463265,0.9004417132528854,0.027183274274907295,0.0238102214573363,0.0013606681543238022,0.014960975724349884,1.0,0.9999999989938761,0.9999999989938761,0.0,3.3128916939073605e-05,3.3128916939073605e-05,0.0,0.0025465654648115787
camels_01440000,0.7070208566714705,0.7310410263240945,0.028227877278356957,0.025339275924961175,0.0014846990848409718,0.015331982502347316,0.7070208566714705,0.7310410263240945,0.028227877278356957,0.025339275924961175,0.0014846990848409718,0.015331982502347316,0.7070068343576704,0.7310245496560626,0.028227877278356957,0.025339275924961175,0.0014846990848409718,0.015331982502347316,1.0,0.9999999978579784,0.9999999978579784,0.0,2.833930185408562e-05,2.833930185408562e-05,0.0,0.005620663964313266
camels_01440400,0.7620974349319964,0.8590474792945562,0.02778010803594067,0.021109325261918818,0.0013636099155727797,0.012336751461996268,0.7620974349319964,0.8590474792945562,0.02778010803594067,0.021109325261918818,0.0013636099155727797,0.012336751461996268,0.7620847685727699,0.8590420791994159,0.02778010803594067,0.021109325261918818,0.0013636099155727797,0.012336751461996268,0.9999999999999999,0.9999999976006372,0.9999999976006372,0.0,4.11537819842156e-05,4.11537819842156e-05,0.0,0.003642438782680557
camels_01451800,0.714002291986624,0.8167177228107064,0.0316022733645797,0.029042675335557176,0.0018385479706537894,0.01782703709167109,0.714002291986624,0.8167177228107064,0.0316022733645797,0.029042675335557176,0.0018385479706537894,0.01782703709167109,0.7139940340623805,0.8167103885662208,0.0316022733645797,0.029042675335557176,0.0018385479706537894,0.01782703709167109,1.0,0.9999999986326648,0.9999999986326648,0.0,2.416113243497442e-05,2.416113243497442e-05,0.0,0.00237453494518558
camels_01466500,0.7263184035307977,0.846522193972084,0.022208758928712918,0.03109994698731459,0.0015996474039723858,0.013150433739590597,0.7263184035307977,0.846522193972084,0.022208758928712918,0.03109994698731459,0.0015996474039723858,0.013150433739590597,0.726329689910405,0.8465242076667786,0.022208758928712918,0.03109994698731459,0.0015996474039723858,0.013150433739590597,1.0,0.9999999990509144,0.9999999990509144,0.0,9.82003976890411e-06,9.82003976890411e-06,0.0,0.0007752685888213762
camels_01484100,0.4641855781088783,0.5813412000149485,0.025122319467169276,0.03732254732453073,0.0021483314448389516,0.028333535107347593,0.4641855781088783,0.5813412000149485,0.025122319467169276,0.03732254732453073,0.0021483314448389516,0.028333535107347593,0.4641745500820983,0.58133341628606,0.025122319467169276,0.03732254732453073,0.0021483314448389516,0.028333535107347593,1.0,0.9999999989092668,0.9999999989092668,0.0,1.1906069817158027e-05,1.1906069817158027e-05,0.0,0.0018569623209256925
camels_01485500,0.7813114683062936,0.756602622066709,0.03194885292594863,0.09154731023142353,0.002558503044546255,0.07679757510914523,0.7813114683062936,0.756602622066709,0.03194885292594863,0.09154731023142353,0.002558503044546255,0.07679757510914523,0.7813135310947359,0.7566089560335685,0.03194885292594863,0.09154731023142353,0.002558503044546255,0.07679757510914523,0.9999999999999999,0.999999999162542,0.999999999162542,0.0,0.0,0.0,0.0,0.0010875291402121512
camels_01486000,0.6664878019710796,0.7610544547313283,0.02674156096112172,0.07613786925650513,0.0023023823937344504,0.061405625256273376,0.6664878019710796,0.7610544547313283,0.02674156096112172,0.07613786925650513,0.0023023823937344504,0.061405625256273376,0.6664692480176876,0.7610520728941326,0.02674156096112172,0.07613786925650513,0.0023023823937344504,0.061405625256273376,1.0,0.9999999990193399,0.9999999990193399,0.0,3.930441491384329e-06,3.930441491384329e-06,0.0,0.0015787271207017284
camels_01487000,0.801357272961678,0.8669591943368659,0.021663011160148328,0.02783562232708109,0.0018866204344960304,0.01755627792698858,0.801357272961678,0.8669591943368659,0.021663011160148328,0.02783562232708109,0.0018866204344960304,0.01755627792698858,0.8013587273294308,0.8669562056274897,0.021663011160148328,0.02783562232708109,0.0018866204344960304,0.01755627792698858,1.0,0.9999999987685053,0.9999999987685053,0.0,1.744849045293151e-05,1.744849045293151e-05,0.0,0.0009506765434377229
camels_01491000,0.5414072219386363,0.48734605738251857,0.026334556749819743,0.051688407449161304,0.002138018704814795,0.04222225939768081,0.5414072219386363,0.48734605738251857,0.026334556749819743,0.051688407449161304,0.002138018704814795,0.04222225939768081,0.5414047800330346,0.4873386009563697,0.026334556749819743,0.051688407449161304,0.002138018704814795,0.04222225939768081,1.0,0.9999999959054894,0.9999999959054894,0.0,1.1129548834754033e-05,1.1129548834754033e-05,0.0,0.0047806707313773344
camels_01510000,0.7637917221863758,0.8376221862690765,0.038977497247846805,0.03110973230481873,0.0015403898927793059,0.020975915607042293,0.7637917221863758,0.8376221862690765,0.038977497247846805,0.03110973230481873,0.0015403898927793059,0.020975915607042293,0.7637837799383277,0.8376157682159264,0.038977497247846805,0.03110973230481873,0.0015403898927793059,0.020975915607042293,1.0,0.999999998418003,0.999999998418003,0.0,2.8930541955851652e-05,2.8930541955851652e-05,0.0,0.0018349970293725093
camels_01516500,0.6045285198577502,0.6695463487995201,0.05100901605633161,0.08712508412452064,0.0022399760163096336,0.07163427635332151,0.6045285198577502,0.6695463487995201,0.05100901605633161,0.08712508412452064,0.0022399760163096336,0.07163427635332151,0.6045187813599461,0.6695467269839701,0.05100901605633161,0.08712508412452064,0.0022399760163096336,0.07163427635332151,0.9999999999999998,0.9999999987080868,0.9999999987080868,0.0,0.0,0.0,0.0,0.0036021458896200453
camels_01532000,0.6333619646361923,0.6248034479554985,0.043824559147894744,0.06741151326084717,0.002009264257326571,0.05593821620360833,0.6333619646361923,0.6248034479554985,0.043824559147894744,0.06741151326084717,0.002009264257326571,0.05593821620360833,0.6333520985109018,0.6247981007379022,0.043824559147894744,0.06741151326084717,0.002009264257326571,0.05593821620360833,1.0,0.999999998202185,0.999999998202185,0.0,1.5761838013439444e-05,1.5761838013439444e-05,0.0,0.003023410027564344
